Executor 2 3 | x: 0.5 | f(x): 0.25
Executor 2 3 | x: 1 | f(x): 1
Executor 3 3 | x: 1 | f(x): 1
Executor 3 3 | x: 1.1 | f(x): 1.21
Executor 3 3 | x: 1.2 | f(x): 1.44
Executor 3 3 | x: 1.3 | f(x): 1.69
Executor 3 3 | x: 1.4 | f(x): 1.96
Executor 3 3 | x: 1.5 | f(x): 2.25
Executor 3 3 | x: 1.6 | f(x): 2.56
Executor 3 3 | x: 1.7 | f(x): 2.89
Executor 3 3 | x: 1.8 | f(x): 3.24
Executor 3 3 | x: 1.9 | f(x): 3.61
Executor 4 3 | x: 0 | f(x): 0
Executor 4 3 | x: 0.1 | f(x): 0.01
Executor 4 3 | x: 0.2 | f(x): 0.04
Executor 4 3 | x: 0.3 | f(x): 0.09
Executor 4 3 | x: 0.4 | f(x): 0.16
Executor 4 3 | x: 0.5 | f(x): 0.25
Executor 4 3 | x: 0.6 | f(x): 0.36
Executor 4 3 | x: 0.7 | f(x): 0.49
Executor 4 3 | x: 0.8 | f(x): 0.64
Executor 4 3 | x: 0.9 | f(x): 0.81
Executor 4 3 | x: 1 | f(x): 1
Executor 0 4 | x: 0 | f(x): 0
Executor 0 4 | x: 0.1 | f(x): 0.0998334
Executor 0 4 | x: 0.2 | f(x): 0.198669
Executor 0 4 | x: 0.3 | f(x): 0.29552
Executor 0 4 | x: 0.4 | f(x): 0.389418
Executor 0 4 | x: 0.5 | f(x): 0.479426
Executor 0 4 | x: 0.6 | f(x): 0.564642
Executor 0 4 | x: 0.7 | f(x): 0.644218
Executor 0 4 | x: 0.8 | f(x): 0.717356
Executor 0 4 | x: 0.9 | f(x): 0.783327
Executor 0 4 | x: 1 | f(x): 0.841471
Executor 1 4 | x: 1 | f(x): 1
Executor 1 4 | x: 1.9 | f(x): 3.61
Executor 2 4 | x: 0 | f(x): 1
Executor 2 4 | x: 0.4 | f(x): 0.921061
Executor 2 4 | x: 0.8 | f(x): 0.696707
Executor 3 4 | x: 1 | f(x): 0.540302
Executor 3 4 | x: 1.6 | f(x): -0.0291995
Executor 4 4 | x: 0 | f(x): 0
Executor 4 4 | x: 0.3 | f(x): 0.3
Executor 4 4 | x: 0.6 | f(x): 0.6
Executor 4 4 | x: 0.9 | f(x): 0.9
Executor 0 1 | x: 1 | f(x): 0.540302
Executor 0 1 | x: 1.2 | f(x): 0.362358
Executor 0 1 | x: 1.4 | f(x): 0.169967
Executor 0 1 | x: 1.6 | f(x): -0.0291995
Executor 0 1 | x: 1.8 | f(x): -0.227202
Executor 0 1 | x: 2 | f(x): -0.416147
Executor 1 1 | x: 0 | f(x): 0
Executor 1 1 | x: 0.5 | f(x): 0.5
Executor 1 1 | x: 1 | f(x): 1
Executor 1 1 | x: 1.5 | f(x): 1.5
Executor 1 1 | x: 2 | f(x): 2
